id,biz_name,biz_info,cat_primary,cat_sub,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,biz_phone_ext,biz_fax,biz_email,web_url,web_meta_title,web_meta_desc,web_meta_keys
22,"A To Z Mustangs",,Towing,"Auto Towing Equipment","181 Andover Rd","Fairless Hills",PA,19030,19030-2726,USA,Bucks,215,42017,,6160,EST,Y,40.1749,40.177262,-74.8541,-74.866387,"(215) 547-4699",,,,,,,
23,"A Wrecker Service",,Towing,"Auto Towing Equipment","201 Shelby St",Murfreesboro,TN,37127,37127-5504,USA,Rutherford,615,47149,5360,,CST,Y,35.7571,35.815253,-86.3959,-86.393807,"(615) 217-7990",,,,,,,
24,"A-1 Auto Service Center",,Towing,"Auto Towing Equipment","3523 Reid St",Palatka,FL,32177,32177-2518,USA,Putnam,386,12107,,,EST,Y,29.7389,29.657099,-81.6715,-81.665561,"(386) 328-5661",,,,,,,
25,"A-1 Braden's Towing & Auto Repair",,Towing,"Auto Towing Equipment","2501 Lincoln Ave",Wheeling,WV,26003,26003-5332,USA,Ohio,304,54069,9000,,EST,Y,40.0729,40.047830,-80.6524,-80.648549,"(304) 243-1586",,,,,,,
26,"A-1 Rodriguez Tire & Auto Service",,Towing,"Auto Towing Equipment","4157 North Rd",Orangeburg,SC,29118,29118-1129,USA,Orangeburg,803,45075,,,EST,Y,33.5398,33.546762,-80.8866,-80.916614,"(803) 534-4149",,,,,,,
27,"A-1 Sav-On Rentals",,Towing,"Auto Towing Equipment","3712 Main St","Chula Vista",CA,91911,91911-5835,USA,"San Diego",619,06073,7320,,PST,Y,32.6069,32.594853,-117.0565,-117.053257,"(619) 425-2040",,,,http://www.a1savon.com,"Chula Vista Self Storage Units & San Diego Rental Company","San-On Storage is a leading Self Storage and Rental Company in Chula Vista, San Diego. We have the best Self Storage Units to meet your requirements.","Chula Vista Storage, Chula Vista Storage Company, Chula Vista Self Storage Units, Chula Vista Self Storage Rental, San Diego Self Storage Rental, San Diego Self Storage Units"
28,"A-2-Z International 1 A-R-Hi",,Towing,"Auto Towing Equipment","Po Box 432",Arcadia,CA,91006,,USA,"Los Angeles",626,06037,,4480,PST,Y,34.1380,34.1172361,-118.0283,-118.0244639,"(626) 449-6672",,,,,,,
29,"A-A Now Towing",,Towing,"Auto Towing Equipment","380 W 26th St","New York",NY,10001,10001-5813,USA,"New York",212,36061,,5600,EST,Y,40.7500,40.748081,-73.9967,-73.999509,"(646) 862-5220",,,,,,,
31,"Aa-Greg'S Towing",,Towing,"Auto Towing Equipment","239 Juan Tabo Blvd NE",Albuquerque,NM,87123,87123-3042,USA,Bernalillo,505,35001,0200,,MST,Y,35.0653,35.072366,-106.4737,-106.515423,"(505) 271-1300",,,,,,,
32,"Aaa-Francis Service",,Towing,"Auto Towing Equipment","11923 Us-23 S",Ossineke,MI,49766,49766-9507,USA,Alpena,989,26007,,,EST,Y,44.9058,44.903385,-83.4572,-83.442841,"(989) 471-2356",,,,,,,
